1_1_array_0_1;1_1_array_0_2;1_1_array_1_1;1_1_array_1_2;1_1_array_2_1;1_1_array_2_2
65.000001;65.000001;67.543351;67.543351;69.000001;69.000001
65.000001;65.000001;67.543351;67.543351;69.000001;69.000001
65.000001;65.000001;67.543351;67.543351;69.000001;69.000001
65.000001;65.000001;67.543351;67.543351;69.000001;69.000001
65.000001;65.000001;67.543351;67.543351;69.000001;69.000001
65.000001;65.000001;67.543351;67.543351;69.000001;69.000001
65.000001;65.000001;67.543351;67.543351;69.000001;69.000001
65.000001;65.000001;67.543351;67.543351;69.000001;69.000001
65.000001;65.000001;67.543351;67.543351;69.000001;69.000001
65.000001;65.000001;67.543351;67.543351;69.000001;69.000001
