1_2_array_0,1_2_array_0_1,1_2_array_1,1_2_array_1_1,1_2_array_2,1_2_array_2_1
65.000001,65.000001,67.543351,67.543351,69.000001,69.000001
65.000001,65.000001,67.543351,67.543351,69.000001,69.000001
65.000001,65.000001,67.543351,67.543351,69.000001,69.000001
65.000001,65.000001,67.543351,67.543351,69.000001,69.000001
65.000001,65.000001,67.543351,67.543351,69.000001,69.000001
65.000001,65.000001,67.543351,67.543351,69.000001,69.000001
65.000001,65.000001,67.543351,67.543351,69.000001,69.000001
65.000001,65.000001,67.543351,67.543351,69.000001,69.000001
65.000001,65.000001,67.543351,67.543351,69.000001,69.000001
65.000001,65.000001,67.543351,67.543351,69.000001,69.000001
